hgnc_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl,entrez
ABCA9,75.0847845772209,-1.12305716530169,0.52156624269739,-2.15323974859562,0.0312998412757132,0.171205105273997,ENSG00000154258,10350
ABCB11,75.7060772672287,-0.976374181781482,0.49141676059398,-1.98685567948747,0.0469383922931493,0.215703909277445,ENSG00000073734,8647
ABCC11,41.3325537033835,-1.17357856860772,0.379629621596975,-3.09137775832894,0.0019922999564873,0.030365619953372,ENSG00000121270,85320
ADAM32,178.878833811798,-1.01747216865301,0.212479572578453,-4.78856464320745,1.67978454971809e-06,0.000150996087686969,ENSG00000197140,203102
AGBL1,23.2867951641391,-1.97915711571413,0.531650712197358,-3.72266427996325,0.000197131563202592,0.00585642091381434,ENSG00000166748,123624
AKAP7,1364.72550904736,-1.08052892875701,0.484862131340361,-2.22852819165311,0.025845313545211,0.153487271206557,ENSG00000118507,9465
ARPP21,2380.61338223353,-1.42639424763947,0.629234985016776,-2.2668705358165,0.0233981356183341,0.145280260690394,ENSG00000172995,10777
ARSG,89.2190414475102,-0.602015236147362,0.282128670389118,-2.13383218131305,0.0328565205789782,0.175910782699478,ENSG00000141337,22901
ASTN1,3832.13839103403,-0.973776465283333,0.516018615565006,-1.88709561227188,0.059147466764052,0.244321763929977,ENSG00000152092,460
ASXL3,10281.3396718626,-0.69344369905703,0.470332228065074,-1.47436994039262,0.140382013303126,0.388049569912228,ENSG00000141431,80816
ATP8A1,9153.35901491267,-1.04245426955787,0.36878824916124,-2.82670142535398,0.0047030155820447,0.0539155857837271,ENSG00000124406,10396
BMP3,124.207370711174,-0.60811780555635,0.55555073692161,-1.09462154424639,0.273682473004791,0.546466871424207,ENSG00000152785,651
BRINP2,1029.89683543561,-1.72750399423245,0.698219143550731,-2.47415730460695,0.0133550878952222,0.102999542034942,ENSG00000198797,57795
C5orf63,36.478115782602,-2.93947647637825,0.814307854952585,-3.60978524092637,0.000306450620407919,0.00808941009221394,ENSG00000164241,401207
CACNB2,616.57406007042,-1.313891668045,0.550684409009921,-2.38592494457443,0.0170362275647717,0.118803031542638,ENSG00000165995,783
CBLN1,984.458435513847,-1.01878349815933,0.882454602447124,-1.15448828226874,0.248300039850221,0.520193169418717,ENSG00000102924,869
CCDC175,45.2899971912397,-1.51868412296552,0.531044964739738,-2.85980326300583,0.00423903896046691,0.0505256823560222,ENSG00000151838,729665
CCDC178,92.4298523625199,-0.669432324314819,0.459769018571065,-1.45601877741866,0.145387428840322,0.395618515515386,ENSG00000166960,374864
CDHR1,22.3371418976502,-1.64976126637032,0.951253251060453,-1.73430289413589,0.0828643542489278,0.293281728662387,ENSG00000148600,92211
