hgnc_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl,entrez
ABCA1,3835.95486384653,1.04715143479651,0.51094583871123,2.04943725040948,0.0404193778738402,0.199043838207948,ENSG00000165029,19
ABCA8,1244.44109559345,1.77667088053058,0.631930700441874,2.81149638605665,0.00493116447019593,0.0555130284830264,ENSG00000141338,10351
ABCA9,75.0847845772209,-1.12305716530169,0.52156624269739,-2.15323974859562,0.0312998412757132,0.171205105273997,ENSG00000154258,10350
ABCB11,75.7060772672287,-0.976374181781482,0.49141676059398,-1.98685567948747,0.0469383922931493,0.215703909277445,ENSG00000073734,8647
ABCC11,41.3325537033835,-1.17357856860772,0.379629621596975,-3.09137775832894,0.0019922999564873,0.030365619953372,ENSG00000121270,85320
ABCD3,2875.18940652155,0.184066724569772,0.22283681245302,0.826015785020162,0.408795137582183,0.668759635928108,ENSG00000117528,5825
ABHD13,804.040510407994,-0.0542668708488062,0.184533574267603,-0.294075867029545,0.768699931281499,0.895982115603366,ENSG00000139826,84945
ABHD17B,1315.96021723827,0.240548874818872,0.167622591669064,1.4350623768769,0.151269323432098,0.403753493911496,ENSG00000107362,51104
ABI1,1757.32917041934,-0.051544064756553,0.131303024108422,-0.392558093056494,0.694645896613937,0.857553579306915,ENSG00000136754,10006
ABRACL,327.100186060234,-0.208018981005236,0.53372150578337,-0.389751918839987,0.696720000746267,0.858478828965176,ENSG00000146386,58527
ACBD5,2163.41844009316,-0.0569579798591333,0.157748794604287,-0.361067607533944,0.718048907561433,0.869832497465052,ENSG00000107897,91452
ACBD6,1172.82614230632,-0.00791671036014685,0.168029912357045,-0.0471148871596429,0.962421662276625,0.983994547089113,ENSG00000135847,84320
ACBD7,294.968874256146,-0.332317955966137,0.198604943273572,-1.67326125165162,0.0942758769366397,0.315062784901197,ENSG00000176244,414149
ACTR3,6320.13390356971,-0.0851244264322782,0.132958969204019,-0.640230794070455,0.522022565581782,0.754149810455122,ENSG00000115091,10096
ACYP2,342.659294408199,0.358126656938758,0.249875785025469,1.43321873667052,0.15179533673229,0.404475088254433,ENSG00000170634,101927144
ADAM32,178.878833811798,-1.01747216865301,0.212479572578453,-4.78856464320745,1.67978454971809e-06,0.000150996087686969,ENSG00000197140,203102
ADCY10,30.6830136194233,-0.263773929512931,0.556792764408941,-0.473738069841726,0.635686702010702,0.826013312457754,ENSG00000143199,55811
ADCY8,319.533635811844,0.239937986744984,0.929322472065978,0.258185930026611,0.796263416117957,0.909071869458401,ENSG00000155897,114
ADGB,30.9852337514911,2.86457774559354,0.976233379174787,2.9343165340392,0.00334283111270505,0.0431838460182926,ENSG00000118492,79747
AGBL1,23.2867951641391,-1.97915711571413,0.531650712197358,-3.72266427996325,0.000197131563202592,0.00585642091381434,ENSG00000166748,123624
AGFG1,4123.1859506242,-0.110428225154753,0.247995083295731,-0.445283929371569,0.656114580109524,0.837295552006014,ENSG00000173744,3267
AGPS,3385.28373509755,-0.54599893020171,0.199574701778471,-2.73581233160389,0.00622265028116041,0.0644002240829559,ENSG00000018510,8540
AIMP1,904.665917128556,0.291162351131468,0.200593937222044,1.45150125254868,0.146640333711608,0.397705343921161,ENSG00000164022,9255
AK3,1408.09512876964,0.040042352312647,0.153087130411667,0.26156576457452,0.793656241186175,0.908000508056181,ENSG00000147853,50808
AK4,387.093828496776,-0.118045418394916,0.214998196972712,-0.549053062104977,0.582969035706461,0.79426100507234,ENSG00000162433,100507855
AKAP7,1364.72550904736,-1.08052892875701,0.484862131340361,-2.22852819165311,0.025845313545211,0.153487271206557,ENSG00000118507,9465
AKT3,6552.28550847749,0.0913037374787656,0.16290123739505,0.560485229816553,0.575148511503242,0.789026899543834,ENSG00000117020,10000
ALDH18A1,2018.18782261945,0.335087044401172,0.238475281688805,1.40512275330254,0.159984779209295,0.416020030179245,ENSG00000059573,5832
ALG5,455.209615672044,0.173396662586283,0.264823841429933,0.65476228140947,0.512620818891675,0.746319303872291,ENSG00000120697,29880
AMZ2,1590.53633399952,0.0299262113294023,0.201712573895352,0.148360663648702,0.882058142327088,0.951606172187031,ENSG00000196704,51321
ANAPC10,400.989986649586,0.119125129103876,0.26379717615155,0.451578484810767,0.651572672516667,0.835300833529842,ENSG00000164162,10393
ANKIB1,4998.05244846355,-0.0357032810569237,0.141895633338136,-0.251616488943272,0.801337512267807,0.911481217623266,ENSG00000001629,54467
ANKRD13C,1999.49629366579,-0.160356344575496,0.186636051659687,-0.859192761256492,0.390234176404055,0.65390815140832,ENSG00000118454,81573
ANKRD26,1911.08061744336,-0.0888682856047954,0.201060414641728,-0.441997922679861,0.658490709141506,0.838654162970916,ENSG00000107890,22852
