"","NGI_ID","SampleNumber","CellLine","Day","StatusCells","StatusHNRNPU","ReplicateNumber"
"1","P13555_101",23,"CTRL9II","D0","CTRL","HNRNPU_WT",1
"2","P13555_102",55,"CTRL9II","D0","CTRL","HNRNPU_WT",2
"3","P13555_103",69,"CTRL9II","D0","CTRL","HNRNPU_WT",3
"4","P13555_104",74,"CTRL9II","D0","CTRL","HNRNPU_WT",4
"5","P13555_105",76,"CTRL9II","D0","CTRL","HNRNPU_WT",5
"6","P13555_106",26,"CTRL9II","D5","CTRL","HNRNPU_WT",1
"7","P13555_109",75,"CTRL9II","D5","CTRL","HNRNPU_WT",4
"8","P13555_110",102,"CTRL9II","D5","CTRL","HNRNPU_WT",5
"9","P13555_111",5,"ASD12BI","D0","ASD","HNRNPU_KD",1
"10","P13555_112",27,"ASD12BI","D0","ASD","HNRNPU_KD",2
"11","P13555_113",39,"ASD12BI","D0","ASD","HNRNPU_KD",3
"12","P13555_114",43,"ASD12BI","D0","ASD","HNRNPU_KD",4
"13","P13555_115",44,"ASD12BI","D0","ASD","HNRNPU_KD",5
"14","P13555_116",8,"ASD12BI","D5","ASD","HNRNPU_KD",1
"15","P13555_118",30,"ASD12BI","D5","ASD","HNRNPU_KD",3
"16","P13555_119",47,"ASD12BI","D5","ASD","HNRNPU_KD",4
"17","P13555_120",78,"ASD12BI","D5","ASD","HNRNPU_KD",5
"18","P13555_122",85,"CTRL9II","D0","siRNActrl","HNRNPU_WT",2
"19","P13555_123",89,"CTRL9II","D0","siRNActrl","HNRNPU_WT",3
"20","P13555_124",96,"CTRL9II","D0","siRNActrl","HNRNPU_WT",4
"21","P13555_126",83,"CTRL9II","D5","siRNActrl","HNRNPU_WT",1
"22","P13555_127",91,"CTRL9II","D5","siRNActrl","HNRNPU_WT",2
"23","P13555_128",93,"CTRL9II","D5","siRNActrl","HNRNPU_WT",3
"24","P13555_129",98,"CTRL9II","D5","siRNActrl","HNRNPU_WT",4
"25","P13555_130",59,"CTRL9II","D5","siRNActrl","HNRNPU_WT",5
"26","P13555_131",82,"CTRL9II","D0","siHNRNPU","HNRNPU_KD",1
"27","P13555_132",86,"CTRL9II","D0","siHNRNPU","HNRNPU_KD",2
"28","P13555_133",90,"CTRL9II","D0","siHNRNPU","HNRNPU_KD",3
"29","P13555_134",97,"CTRL9II","D0","siHNRNPU","HNRNPU_KD",4
"30","P13555_135",101,"CTRL9II","D0","siHNRNPU","HNRNPU_KD",5
"31","P13555_136",99,"CTRL9II","D5","siHNRNPU","HNRNPU_KD",5
"32","P13555_137",84,"CTRL9II","D5","siHNRNPU","HNRNPU_KD",2
"33","P13555_139",94,"CTRL9II","D5","siHNRNPU","HNRNPU_KD",4
"34","P13555_140",62,"CTRL9II","D5","siHNRNPU","HNRNPU_KD",1
"35","P13555_210",58,"CTRL9II","D5","CTRL","HNRNPU_WT",2
"36","P13555_211",71,"CTRL9II","D5","CTRL","HNRNPU_WT",3
"37","P13555_212",14,"ASD12BI","D5","ASD","HNRNPU_KD",2
"38","P13555_213",81,"CTRL9II","D0","siRNActrl","HNRNPU_WT",1
"39","P13555_214",100,"CTRL9II","D0","siRNActrl","HNRNPU_WT",5
"40","P13555_215",92,"CTRL9II","D5","siHNRNPU","HNRNPU_KD",3
"41","P16902_146",107,"CTRL9II","D28","CTRL","HNRNPU_WT",2
"42","P16902_147",109,"CTRL9II","D28","CTRL","HNRNPU_WT",3
"43","P16902_148",66,"CTRL9II","D28","CTRL","HNRNPU_WT",1
"44","P16902_144",104,"ASD12BI","D28","ASD","HNRNPU_KD",2
"45","P16902_145",105,"ASD12BI","D28","ASD","HNRNPU_KD",3
"46","P16902_149",68,"ASD12BI","D28","ASD","HNRNPU_KD",1
"47","P21001_118",134,"CTRL9II","D28","siRNActrl","HNRNPU_WT",3
"48","P21001_110",130,"CTRL9II","D28","siRNActrl","HNRNPU_WT",1
"49","P21001_113",133,"CTRL9II","D28","siHNRNPU","HNRNPU_KD",2
"50","P21001_120",136,"CTRL9II","D28","siRNActrl","HNRNPU_WT",4
"51","P21001_119",135,"CTRL9II","D28","siHNRNPU","HNRNPU_KD",3
"52","P21001_112",132,"CTRL9II","D28","siRNActrl","HNRNPU_WT",2
"53","P21001_121",137,"CTRL9II","D28","siHNRNPU","HNRNPU_KD",4
