NGI ID	User ID	Mreads	>=Q30
P16902_101	105_CTRL9II_E1	46.67	92.68
P16902_102	106_CTRL9II_E2	42.35	92.7
P16902_103	107_CTRL9II_E3	42.73	92.4
P16902_104	108_CTRL9II_E4	36.84	92.89
P16902_105	109_CTRL9II_E5	41.29	92.64
P16902_106	110_CTRL9II_E6	45.61	92.3
P16902_107	111_CTRL9II_E7	44.62	92.72
P16902_108	112_CTRL9II_E8	49.17	92.58
P16902_109	113_AF22_E1	44.71	92.66
P16902_110	114_AF22_E2	47.61	92.55
P16902_111	115_AF22_E3	45.90	92.3
P16902_112	117_AF22_E5	40.50	92.6
P16902_113	118_AF22_E6	39.93	92.49
P16902_114	119_AF22_E7	45.74	92.56
P16902_115	120_AF22_E8	42.02	92.78
P16902_116	129_ASD12BI_E1	38.95	92.75
P16902_117	130_ASD12BI_E2	41.08	92.22
P16902_118	131_ASD12BI_E3	51.20	92.53
P16902_119	132_ASD12BI_E4	41.16	92.57
P16902_120	133_ASD12BI_E5	42.22	92.53
P16902_121	134_ASD12BI_E6	45.41	92.5
P16902_122	135_ASD12BI_E7	36.95	92.88
P16902_123	136_ASD12BI_E8	45.92	92.31
P16902_124	145_CTRL9II_E1	42.48	92.59
P16902_125	146_CTRL9II_E2	59.33	92.57
P16902_126	147_CTRL9II_E3	47.95	92.62
P16902_127	148_CTRL9II_E4	53.18	92.54
P16902_128	149_CTRL9II_E5	49.33	92.5
P16902_129	150_CTRL9II_E6	0.00	89.85
P16902_130	151_CTRL9II_E7	42.90	92.6
P16902_131	152_CTRL9II_E8	42.41	92.73
P16902_132	153_AF22_E1	49.14	93.0
P16902_133	154_AF22_E2	47.94	92.37
P16902_134	155_AF22_E3	52.34	92.71
P16902_135	156_AF22_E4	53.17	92.74
P16902_136	161_ASD17AII_E1	46.36	92.24
P16902_137	162_ASD17AII_E2	43.98	92.46
P16902_138	163_ASD17AII_E3	42.37	92.39
P16902_139	164_ASD17AII_E4	46.00	92.68
P16902_140	165_ASD17AII_E5	58.15	92.69
P16902_141	166_ASD17AII_E6	55.55	92.45
P16902_142	167_ASD17AII_E7	47.79	92.76
P16902_143	168_ASD17AII_E8	54.93	92.39
P16902_144	104_ASD12BI_D28	60.08	92.49
P16902_145	105_ASD12BI_D28	53.30	92.6
P16902_146	107_CTRL9II_D28	46.29	92.45
P16902_147	109_CTRL9II_D28	62.91	92.29
P16902_148	66_CTRL9II_D28	38.16	92.82
P16902_149	68_ASD12BI_D28	55.69	92.4
