;ensembl_gene_id;hgnc_symbol;chromosome_name;start_position;end_position;gene_length;DEG
1;ENSG00000000457;SCYL3;1;169818772;169863408;44636;0
2;ENSG00000000460;C1orf112;1;169631245;169823221;191976;0
3;ENSG00000001460;STPG1;1;24683489;24743424;59935;0
4;ENSG00000001461;NIPAL3;1;24742284;24799466;57182;0
5;ENSG00000002016;RAD52;12;1021243;1099219;77976;0
6;ENSG00000002330;BAD;11;64037302;64052176;14874;0
7;ENSG00000003056;M6PR;12;9092959;9102551;9592;0
8;ENSG00000004455;AK2;1;33473585;33546597;73012;0
9;ENSG00000004478;FKBP4;12;2904119;2914576;10457;0
10;ENSG00000004487;KDM1A;1;23345941;23410182;64241;0
11;ENSG00000004700;RECQL;12;21621845;21654603;32758;0
12;ENSG00000005175;RPAP3;12;48057070;48099844;42774;0
13;ENSG00000005801;ZNF195;11;3360491;3400448;39957;0
14;ENSG00000006071;ABCC8;11;17414432;17498449;84017;0
15;ENSG00000006118;TMEM132A;11;60691935;60704631;12696;0
16;ENSG00000006534;ALDH3B1;11;67776048;67796744;20696;0
17;ENSG00000006831;ADIPOR2;12;1797740;1897844;100104;0
18;ENSG00000007341;ST7L;1;113066140;113163447;97307;0
19;ENSG00000007372;PAX6;11;31806340;31839509;33169;1
20;ENSG00000007923;DNAJC11;1;6694228;6761984;67756;0
21;ENSG00000007968;E2F2;1;23832922;23857712;24790;0
22;ENSG00000008118;CAMK1G;1;209757062;209787283;30221;0
23;ENSG00000008128;CDK11A;1;1634169;1655766;21597;0
24;ENSG00000008130;NADK;1;1682671;1711896;29225;0
25;ENSG00000008394;MGST1;12;16500076;16762193;262117;0
26;ENSG00000008405;CRY1;12;107385142;107487607;102465;0
27;ENSG00000009307;CSDE1;1;115259534;115301297;41763;0
28;ENSG00000009709;PAX7;1;18957500;19075360;117860;1
29;ENSG00000009780;FAM76A;1;28052490;28089633;37143;0
30;ENSG00000010072;SPRTN;1;231472850;231490769;17919;0
31;ENSG00000010165;METTL13;1;171750788;171783163;32375;0
32;ENSG00000010219;DYRK4;12;4671370;4723325;51955;0
33;ENSG00000010278;CD9;12;6308881;6347425;38544;0
34;ENSG00000010292;NCAPD2;12;6602522;6641121;38599;0
35;ENSG00000010295;IFFO1;12;6647541;6665239;17698;0
36;ENSG00000010379;SLC6A13;12;329789;372039;42250;0
37;ENSG00000010626;LRRC23;12;6982733;7023407;40674;0
38;ENSG00000010803;SCMH1;1;41492872;41707826;214954;0
39;ENSG00000011007;TCEB3;1;24069645;24088549;18904;0
40;ENSG00000011009;LYPLA2;1;24117460;24122029;4569;0
41;ENSG00000011021;CLCN6;1;11866207;11903201;36994;0
42;ENSG00000011105;TSPAN9;12;3186521;3395730;209209;0
43;ENSG00000011347;SYT7;11;61282785;61348620;65835;0
44;ENSG00000011405;PIK3C2A;11;17099277;17229530;130253;0
45;ENSG00000012822;CALCOCO1;12;54104903;54121529;16626;0
46;ENSG00000013503;POLR3B;12;106751436;106903976;152540;0
47;ENSG00000013573;DDX11;12;31226779;31257725;30946;0
48;ENSG00000013583;HEBP1;12;13127798;13153207;25409;0
49;ENSG00000013725;CD6;11;60739115;60787849;48734;0
50;ENSG00000014138;POLA2;11;65029233;65073060;43827;0
51;ENSG00000014216;CAPN1;11;64948037;64979477;31440;0
52;ENSG00000014914;MTMR11;1;149900543;149908791;8248;0
53;ENSG00000014919;COX15;10;101471601;101491857;20256;0
54;ENSG00000015153;YAF2;12;42550906;42632151;81245;0
55;ENSG00000015171;ZMYND11;10;180405;300577;120172;0
56;ENSG00000017427;IGF1;12;102789645;102874423;84778;0
57;ENSG00000018236;CNTN1;12;41086244;41466220;379976;0
58;ENSG00000018625;ATP1A2;1;160085549;160113381;27832;0
59;ENSG00000019102;VSIG2;11;124617368;124622134;4766;0
60;ENSG00000019144;PHLDB1;11;118477155;118528741;51586;0
61;ENSG00000019485;PRDM11;11;45115564;45247734;132170;0
62;ENSG00000019505;SYT13;11;45261852;45307870;46018;0
63;ENSG00000019995;ZRANB1;10;126630692;126676758;46066;0
64;ENSG00000020129;NCDN;1;36023074;36032875;9801;0
65;ENSG00000020922;MRE11A;11;94152895;94227074;74179;0
66;ENSG00000021300;PLEKHB1;11;73357223;73373864;16641;1
67;ENSG00000021762;OSBPL5;11;3108346;3187969;79623;0
68;ENSG00000022840;RNF10;12;120971283;121015397;44114;0
69;ENSG00000023041;ZDHHC6;10;114190058;114206672;16614;0
70;ENSG00000023171;GRAMD1B;11;123396344;123498482;102138;0
71;ENSG00000023191;RNH1;11;494512;507300;12788;0
72;ENSG00000023516;AKAP11;13;42846289;42897396;51107;0
73;ENSG00000023572;GLRX2;1;193065598;193075244;9646;0
74;ENSG00000023697;DERA;12;16064106;16190220;126114;0
75;ENSG00000023734;STRAP;12;16035325;16056412;21087;0
76;ENSG00000023839;ABCC2;10;101542489;101611949;69460;0
77;ENSG00000023902;PLEKHO1;1;150121373;150136916;15543;0
78;ENSG00000023909;GCLM;1;94350761;94374966;24205;0
79;ENSG00000024526;DEPDC1;1;68939835;68962904;23069;0
80;ENSG00000025423;HSD17B6;12;57145945;57181574;35629;0
81;ENSG00000025434;NR1H3;11;47269851;47290396;20545;0
82;ENSG00000025800;KPNA6;1;32573639;32642169;68530;0
83;ENSG00000026025;VIM;10;17270258;17279592;9334;1
84;ENSG00000026103;FAS;10;90750414;90775542;25128;0
85;ENSG00000026508;CD44;11;35160417;35253949;93532;1
86;ENSG00000027001;MIPEP;13;24304328;24463558;159230;0
87;ENSG00000028203;VEZT;12;95611522;95696566;85044;0
88;ENSG00000029153;ARNTL2;12;27485787;27576241;90454;0
89;ENSG00000030066;NUP160;11;47799639;47870107;70468;0
90;ENSG00000031698;SARS;1;109756540;109780791;24251;0
91;ENSG00000032742;IFT88;13;21140585;21265503;124918;0
92;ENSG00000033030;ZCCHC8;12;122957417;122985518;28101;0
93;ENSG00000033122;LRRC7;1;70034081;70617628;583547;0
94;ENSG00000033327;GAB2;11;77926343;78129394;203051;0
95;ENSG00000035403;VCL;10;75757872;75879918;122046;0
96;ENSG00000035687;ADSS;1;244571796;244615436;43640;0
97;ENSG00000036549;ZZZ3;1;78028101;78149104;121003;0
98;ENSG00000036672;USP2;11;119225925;119252436;26511;0
99;ENSG00000037637;FBXO42;1;16573334;16678949;105615;0
100;ENSG00000037897;METTL1;12;58162254;58166576;4322;0
101;ENSG00000040487;PQLC2;1;19638820;19655794;16974;0
102;ENSG00000041988;THAP3;1;6684926;6695646;10720;0
103;ENSG00000042286;AIFM2;10;71857979;71892690;34711;0
104;ENSG00000042429;MED17;11;93517393;93547861;30468;0
105;ENSG00000042781;USH2A;1;215796236;216596738;800502;0
106;ENSG00000043514;TRIT1;1;40306723;40349183;42460;0
107;ENSG00000047056;WDR37;10;1095478;1178237;82759;0
108;ENSG00000047410;TPR;1;186280784;186344825;64041;0
109;ENSG00000047617;ANO2;12;5641035;6055398;414363;0
110;ENSG00000047621;C12orf4;12;4596894;4647674;50780;0
111;ENSG00000048028;USP28;11;113668596;113746292;77696;0
112;ENSG00000048540;LMO3;12;16701307;16763528;62221;0
113;ENSG00000048649;RSF1;11;77371041;77532063;161022;0
114;ENSG00000048707;VPS13D;1;12290124;12572099;281975;0
115;ENSG00000048740;CELF2;10;11047259;11378674;331415;0
116;ENSG00000049089;COL9A2;1;40766159;40783488;17329;0
117;ENSG00000049130;KITLG;12;88886570;88974628;88058;1
