"","ensembl_gene_id","hgnc_symbol","chromosome_name","start_position","end_position","gene_length"
"1","ENSG00000000003","TSPAN6","X",99883667,99894988,11321
"2","ENSG00000000419","DPM1","20",49551404,49575092,23688
"3","ENSG00000000457","SCYL3","1",169818772,169863408,44636
"4","ENSG00000000460","C1orf112","1",169631245,169823221,191976
"5","ENSG00000000971","CFH","1",196621008,196716634,95626
"6","ENSG00000001036","FUCA2","6",143815948,143832827,16879
"7","ENSG00000001084","GCLC","6",53362139,53481768,119629
"8","ENSG00000001167","NFYA","6",41040684,41067715,27031
"9","ENSG00000001460","STPG1","1",24683489,24743424,59935
"10","ENSG00000001461","NIPAL3","1",24742284,24799466,57182
"11","ENSG00000001497","LAS1L","X",64732462,64754655,22193
"12","ENSG00000001561","ENPP4","6",46097730,46114436,16706
"13","ENSG00000001626","CFTR","7",117105838,117356025,250187
"14","ENSG00000001629","ANKIB1","7",91875548,92030698,155150
"15","ENSG00000001630","CYP51A1","7",91741465,91772266,30801
"16","ENSG00000001631","KRIT1","7",91828283,91875480,47197
"17","ENSG00000002016","RAD52","12",1021243,1099219,77976
"18","ENSG00000002330","BAD","11",64037302,64052176,14874
"19","ENSG00000002549","LAP3","4",17578815,17609595,30780
"20","ENSG00000002586","CD99","X",2609220,2659350,50130
"21","ENSG00000002587","HS3ST1","4",11394774,11431389,36615
"22","ENSG00000002746","HECW1","7",43152198,43605600,453402
"23","ENSG00000002822","MAD1L1","7",1855429,2272878,417449
"24","ENSG00000002834","LASP1","17",37026112,37078023,51911
"25","ENSG00000002919","SNX11","17",46180719,46200436,19717
"26","ENSG00000003056","M6PR","12",9092959,9102551,9592
"27","ENSG00000003096","KLHL13","X",117031776,117251303,219527
"28","ENSG00000003137","CYP26B1","2",72356367,72375167,18800
"29","ENSG00000003147","ICA1","7",8152814,8302317,149503
"30","ENSG00000003249","DBNDD1","16",90071273,90086536,15263
"31","ENSG00000003393","ALS2","2",202565277,202645912,80635
"32","ENSG00000003402","CFLAR","2",201980827,202041410,60583
"33","ENSG00000003436","TFPI","2",188328957,188430487,101530
"34","ENSG00000003509","NDUFAF7","2",37458774,37480546,21772
"35","ENSG00000003756","RBM5","3",50126341,50156454,30113
"36","ENSG00000003987","MTMR7","8",17155539,17271037,115498
"37","ENSG00000003989","SLC7A2","8",17354597,17428082,73485
"38","ENSG00000004059","ARF5","7",127228399,127231759,3360
"39","ENSG00000004139","SARM1","17",26691378,26728065,36687
"40","ENSG00000004142","POLDIP2","17",26673659,26684545,10886
"41","ENSG00000004399","PLXND1","3",129274018,129325661,51643
"42","ENSG00000004455","AK2","1",33473585,33546597,73012
"43","ENSG00000004478","FKBP4","12",2904119,2914576,10457
"44","ENSG00000004487","KDM1A","1",23345941,23410182,64241
"45","ENSG00000004534","RBM6","3",49977440,50137478,160038
"46","ENSG00000004660","CAMKK1","17",3763609,3798185,34576
"47","ENSG00000004700","RECQL","12",21621845,21654603,32758
"48","ENSG00000004766","CCDC132","7",92861653,92988338,126685
"49","ENSG00000004777","ARHGAP33","19",36265434,36279724,14290
"50","ENSG00000004779","NDUFAB1","16",23592323,23607677,15354
"51","ENSG00000004799","PDK4","7",95212811,95225803,12992
"52","ENSG00000004838","ZMYND10","3",50378541,50384283,5742
"53","ENSG00000004864","SLC25A13","7",95749532,95951459,201927
"54","ENSG00000004866","ST7","7",116593292,116870157,276865
"55","ENSG00000004897","CDC27","17",45195069,45266788,71719
"56","ENSG00000004948","CALCR","7",93053799,93204042,150243
"57","ENSG00000004961","HCCS","X",11129421,11141198,11777
"58","ENSG00000004975","DVL2","17",7128660,7137864,9204
"59","ENSG00000005007","UPF1","19",18942747,18979045,36298
"60","ENSG00000005020","SKAP2","7",26706681,27034858,328177
"61","ENSG00000005022","SLC25A5","X",118602363,118605282,2919
"62","ENSG00000005059","CCDC109B","4",110481361,110609874,128513
"63","ENSG00000005075","POLR2J","7",102113565,102119354,5789
"64","ENSG00000005100","DHX33","17",5344232,5372380,28148
"65","ENSG00000005102","MEOX1","17",41717756,41739322,21566
"66","ENSG00000005108","THSD7A","7",11409984,11871824,461840
"67","ENSG00000005156","LIG3","17",33307513,33332083,24570
"68","ENSG00000005175","RPAP3","12",48057070,48099844,42774
"69","ENSG00000005187","ACSM3","16",20621565,20808903,187338
"70","ENSG00000005189","","16",20817751,20860987,43236
"71","ENSG00000005194","CIAPIN1","16",57462081,57481440,19359
"72","ENSG00000005206","SPPL2B","19",2328614,2355099,26485
"73","ENSG00000005238","FAM214B","9",35104109,35116338,12229
"74","ENSG00000005243","COPZ2","17",46103533,46115392,11859
"75","ENSG00000005249","PRKAR2B","7",106685094,106802256,117162
"76","ENSG00000005302","MSL3","X",11776278,11793870,17592
"77","ENSG00000005339","CREBBP","16",3775055,3930727,155672
"78","ENSG00000005379","BZRAP1","17",56378592,56406152,27560
"79","ENSG00000005436","GCFC2","2",75879126,75938115,58989
"80","ENSG00000005448","WDR54","2",74648805,74652882,4077
"81","ENSG00000005469","CROT","7",86974997,87029111,54114
"82","ENSG00000005471","ABCB4","7",87031013,87109751,78738
"83","ENSG00000005483","KMT2E","7",104654626,104754808,100182
"84","ENSG00000005486","RHBDD2","7",75471920,75518244,46324
"85","ENSG00000005513","SOX8","16",1031808,1036979,5171
"86","ENSG00000005700","IBTK","6",82879700,82957471,77771
"87","ENSG00000005801","ZNF195","11",3360491,3400448,39957
"88","ENSG00000005810","MYCBP2","13",77618792,77901185,282393
"89","ENSG00000005812","FBXL3","13",77566740,77601330,34590
"90","ENSG00000005882","PDK2","17",48172101,48189516,17415
"91","ENSG00000005884","ITGA3","17",48133332,48167845,34513
"92","ENSG00000005889","ZFX","X",24167290,24234372,67082
"93","ENSG00000005893","LAMP2","X",119561682,119603220,41538
"94","ENSG00000005955","GGNBP2","17",34900737,34946278,45541
"95","ENSG00000005961","ITGA2B","17",42449548,42466873,17325
"96","ENSG00000005981","ASB4","7",95107756,95169544,61788
"97","ENSG00000006007","GDE1","16",19513015,19533467,20452
"98","ENSG00000006015","C19orf60","19",18699495,18703146,3651
"99","ENSG00000006025","OSBPL7","17",45884738,45899200,14462
"100","ENSG00000006042","TMEM98","17",31254928,31272124,17196
"101","ENSG00000006062","MAP3K14","17",43340488,43394414,53926
"102","ENSG00000006071","ABCC8","11",17414432,17498449,84017
"103","ENSG00000006114","SYNRG","17",35874900,35969544,94644
"104","ENSG00000006118","TMEM132A","11",60691935,60704631,12696
"105","ENSG00000006125","AP2B1","17",33905065,34053436,148371
"106","ENSG00000006128","TAC1","7",97361220,97369784,8564
"107","ENSG00000006194","ZNF263","16",3313743,3351401,37658
"108","ENSG00000006210","CX3CL1","16",57406370,57418960,12590
"109","ENSG00000006282","SPATA20","17",48620419,48633213,12794
"110","ENSG00000006283","CACNA1G","17",48638429,48704835,66406
"111","ENSG00000006327","TNFRSF12A","16",3068446,3072384,3938
"112","ENSG00000006432","MAP3K9","14",71189243,71276251,87008
"113","ENSG00000006451","RALA","7",39663082,39747723,84641
"114","ENSG00000006453","BAIAP2L1","7",97920963,98030380,109417
"115","ENSG00000006459","KDM7A","7",139784546,139876835,92289
"116","ENSG00000006468","ETV1","7",13930853,14031050,100197
"117","ENSG00000006530","AGK","7",141250989,141355044,104055
"118","ENSG00000006534","ALDH3B1","11",67776048,67796744,20696
"119","ENSG00000006576","PHTF2","7",77428122,77586818,158696
"120","ENSG00000006607","FARP2","2",242295658,242434256,138598
"121","ENSG00000006625","GGCT","7",30536237,30591095,54858
"122","ENSG00000006634","DBF4","7",87505531,87538856,33325
"123","ENSG00000006652","IFRD1","7",112063023,112121072,58049
"124","ENSG00000006695","COX10","17",13972813,14111994,139181
"125","ENSG00000006704","GTF2IRD1","7",73868120,74016931,148811
"126","ENSG00000006712","PAF1","19",39876492,39881835,5343
"127","ENSG00000006715","VPS41","7",38762563,38971994,209431
"128","ENSG00000006740","ARHGAP44","17",12692856,12894960,202104
"129","ENSG00000006744","ELAC2","17",12895708,12921504,25796
"130","ENSG00000006756","ARSD","X",2822011,2847392,25381
"131","ENSG00000006757","PNPLA4","X",7866288,7895780,29492
"132","ENSG00000006831","ADIPOR2","12",1797740,1897844,100104
"133","ENSG00000006837","CDKL3","5",133541305,133706738,165433
"134","ENSG00000007047","MARK4","19",45582546,45808541,225995
"135","ENSG00000007062","PROM1","4",15964699,16086001,121302
"136","ENSG00000007080","CCDC124","19",18043825,18054800,10975
